cve_id,cpu_quarter,cpu_url,product_family,component,cvss_version,base_score,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,access_vector,access_complexity,authentication,package_privilege,protocol,remote_exploit,affected_versions,notes
CVE-2025-6965,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle MySQL,Server: Docker Images (SQLite),3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,MySQL Protocol,Yes,8.4.0-8.4.7,See Note 1
CVE-2025-6965,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle PeopleSoft,Porting (SQLite),3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,HTTP,Yes,"8.60, 8.61, 8.62",
CVE-2025-6965,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Siebel CRM,Siebel Cloud Manager (OpenSearch Dashboards),3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,HTTP,Yes,17.0-25.11,
CVE-2026-21969,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Supply Chain,Supplier Portal,3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,HTTP,Yes,6.2.4,
CVE-2025-54874,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Supply Chain,Security (OpenJPEG),3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,HTTP,Yes,21.1.0,See Note 1
CVE-2025-49796,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Reports (libxml2),3.1,9.1,Network,Low,None,None,Un- changed,None,High,High,,,,,HTTP,Yes,"14.5.0.0.0, 14.6.0.0.0, 14.7.0.0.0, 14.8.0.0.0",
CVE-2025-49796,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Accessibility (libxml2),3.1,9.1,Network,Low,None,None,Un- changed,None,High,High,,,,,HTTP,Yes,14.8.1.0.0,
CVE-2025-49796,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Base (libxml2),3.1,9.1,Network,Low,None,None,Un- changed,None,High,High,,,,,HTTP,Yes,"14.5.0.0.0, 14.6.0.0.0, 14.7.0.0.0",
CVE-2025-49796,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Common Core (libxml2),3.1,9.1,Network,Low,None,None,Un- changed,None,High,High,,,,,HTTP,Yes,14.8.1.0.0,
CVE-2025-49796,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Security (libxml2),3.1,9.1,Network,Low,None,None,Un- changed,None,High,High,,,,,HTTP,Yes,14.8.1.0.0,
CVE-2025-49796,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Core (libxml2),3.1,9.1,Network,Low,None,None,Un- changed,None,High,High,,,,,HTTP,Yes,"12.2.1.4.0, 14.1.2.0.0",
CVE-2025-23048,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,SSL Module (Apache HTTP Server),3.1,9.1,Network,Low,None,None,Un- changed,High,High,None,,,,,TLS,Yes,14.1.2.0.0,
CVE-2021-23926,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Analytics,Core (Apache XMLBeans),3.1,9.1,Network,Low,None,None,Un- changed,High,None,High,,,,,HTTP,Yes,8.2.0.0.0,
CVE-2025-49796,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Hyperion,Install and Configuration (libxml2),3.1,9.1,Network,Low,None,None,Un- changed,None,High,High,,,,,HTTP,Yes,11.2.23,
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Configuration Management Platform (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,15.0.0.0,
CVE-2025-9900,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Configuration Management Platform (LibTIFF),3.1,8.8,Network,Low,None,Required,Un- changed,High,High,High,,,,,HTTP,Yes,15.0.0.0,
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle E-Business Suite,HTML Dispatch Center (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,12.2.3-12.2.15,
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle E-Business Suite,iRecruitment (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,12.2.3-12.2.15,
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle E-Business Suite,Suitability Analyzer (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,12.2.3-12.2.15,
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle E-Business Suite,Core (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,12.2.3-12.2.15,
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Accessibility (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Common Core (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Retail Applications,Operations and Maintenance (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,"15.0.3, 16.0.3",
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Retail Applications,Security (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,"15.0.3, 16.0.3",
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Retail Applications,NF Issuing (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,14.2,
CVE-2025-48734,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Supply Chain,Security (Apache Commons BeanUtils),3.1,8.8,Network,Low,Low,None,Un- changed,High,High,High,,,,,HTTP,No,9.3.6,
CVE-2025-50059,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Commerce,"Content Acquisition System, Workbench, Endeca Application Controller (Oracle Java SE)",3.1,8.6,Network,Low,None,None,Changed,High,None,None,,,,,HTTP,Yes,11.4.0,
CVE-2024-56406,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Third Party (Perl),3.1,8.6,Network,Low,None,None,Un- changed,Low,Low,High,,,,,HTTP,Yes,"12.2.1.4.0, 14.1.2.0.0",
CVE-2026-21967,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Hospitality Applications,Opera Servlet,3.1,8.6,Network,Low,None,None,Un- changed,High,Low,Low,,,,,HTTP,Yes,"5.6.19, 5.6.25, 5.6.26, 5.6.27",
CVE-2025-53547,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Siebel CRM,Siebel Cloud Manager (Helm),3.1,8.6,Local,Low,None,Required,Changed,High,High,High,,,,,None,No,17.0-25.9,
CVE-2025-66516,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Core (Apache Tika),3.1,8.4,Network,Low,High,Required,Changed,High,High,High,,,,,HTTP,No,6.1.0-6.1.1,
CVE-2025-66516,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Construction and Engineering,Integration (Apache Tika),3.1,8.3,Network,Low,None,None,Changed,Low,Low,Low,,,,,HTTP,Yes,"21.12.0-21.12.17, 22.12.0-22.12.15, 23.12.0-23.12.16, 24.12.0-24.12.12, 25.12.0",
CVE-2025-32990,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Platform (GnuTLS),3.1,8.2,Network,Low,None,None,Un- changed,None,Low,High,,,,,HTTP,Yes,"24.2.0-24.2.1, 24.3.0, 25.1.100, 25.1.200",
CVE-2025-32990,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Configuration Management Platform (GnuTLS),3.1,8.2,Network,Low,None,None,Un- changed,None,Low,High,,,,,HTTP,Yes,15.0.0.0,
CVE-2026-21955,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Virtualization,Core,3.1,8.2,Local,Low,High,None,Changed,High,High,High,,,,,None,No,"7.1.14, 7.2.4",
CVE-2026-21956,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Virtualization,Core,3.1,8.2,Local,Low,High,None,Changed,High,High,High,,,,,None,No,"7.1.14, 7.2.4",
CVE-2026-21987,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Virtualization,Core,3.1,8.2,Local,Low,High,None,Changed,High,High,High,,,,,None,No,"7.1.14, 7.2.4",
CVE-2026-21988,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Virtualization,Core,3.1,8.2,Local,Low,High,None,Changed,High,High,High,,,,,None,No,"7.1.14, 7.2.4",
CVE-2026-21990,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Virtualization,Core,3.1,8.2,Local,Low,High,None,Changed,High,High,High,,,,,None,No,"7.1.14, 7.2.4",
CVE-2025-59250,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle GoldenGate,Java Delivery (JDBC Driver for SQL Server),3.1,8.1,Network,Low,None,Required,Un- changed,High,High,None,,,,,Multiple,Yes,"21.3-21.20, 23.4-23.10",
CVE-2025-5987,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Routing (libssh),3.1,8.1,Network,High,None,None,Un- changed,High,High,High,,,,,SSH,Yes,"4.2.0, 5.0.0",
CVE-2026-21973,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Security Management System,3.1,8.1,Network,Low,Low,None,Un- changed,High,High,None,,,,,HTTP,No,"14.5.0.15.0, 14.7.0.8.0, 14.8.0.1.0",
CVE-2025-27363,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Hyperion,Install (FreeType),3.1,8.1,Network,High,None,None,Un- changed,High,High,High,,,,,HTTP,Yes,11.2.23,
CVE-2025-27363,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle JD Edwards,E1 Dev Platform Tech - Cloud (FreeType),3.1,8.1,Network,High,None,None,Un- changed,High,High,High,,,,,Oracle Net,Yes,9.2.0.0-9.2.9.4,
CVE-2026-21989,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Virtualization,Core,3.1,8.1,Local,Low,High,None,Changed,High,High,Low,,,,,None,No,"7.1.14, 7.2.4",
CVE-2022-41342,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Webserver Plugin (Intel C++ Compiler Classic),3.1,7.8,Local,Low,Low,None,Un- changed,High,High,High,,,,,None,No,12.2.1.4.0,
CVE-2022-41342,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,"Dynamic Monitoring Service, Oracle Notification Service, libiau (Intel C++ Compiler Classic)",3.1,7.8,Local,Low,Low,None,Un- changed,High,High,High,,,,,None,No,12.2.1.4.0,See Note 2
CVE-2022-41342,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Core (Intel C++ Compiler Classic),3.1,7.8,Local,Low,Low,None,Un- changed,High,High,High,,,,,None,No,12.2.1.4.0,See Note 2
CVE-2022-41342,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Oracle Weblogic Server Proxy Plug-in for Apache HTTP Server (Intel C++ Compiler Classic),3.1,7.8,Local,Low,Low,None,Un- changed,High,High,High,,,,,None,No,"12.2.1.4.0, 14.1.1.0.0",See Note 2
CVE-2023-1393,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle JD Edwards,E1 Dev Platform Tech - Cloud (X.Org Server),3.1,7.8,Local,Low,Low,None,Un- changed,High,High,High,,,,,None,No,9.2.0.0-9.2.9.4,
CVE-2025-66566,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Essbase,Essbase Web Platform (lz4-java),3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,Multiple,Yes,21.8.0.0.0,
CVE-2025-41249,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Commerce,"Content Acquisition System, Workbench, Endeca Application Controller (Spring Framework)",3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,11.4.0,
CVE-2025-9086,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Commerce,"MDEX, Forge (curl)",3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTPS,Yes,11.4.0,
CVE-2025-41249,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Commerce,Dynamo Application Framework (Spring Framework),3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,11.4.0,
CVE-2025-58057,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Security (Netty),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,25.1.0,
CVE-2025-48060,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Third Party (jq),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,25.1.0,
CVE-2025-41249,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Security (Spring Framework),3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,15.1.0.0,
CVE-2025-8194,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Automated Test Suite (Python),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"9.0.0, 9.0.1, 9.1.0",
CVE-2025-27533,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Third Party (Apache ActiveMQ),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,9.0.0-9.0.4,
CVE-2025-48976,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Third Party (Apache Commons FileUpload),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,9.0.0-9.0.4,
CVE-2025-59375,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Third Party (LibExpat),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"24.2.0-24.2.1, 24.3.0, 25.1.100, 25.1.200, 25.2.100",
CVE-2025-41249,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,"Platform, MSS Cartridge (Spring Framework)",3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,"7.3.6, 7.4.0, 7.5.0",
CVE-2025-66418,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Mediation Engine (urllib3),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"5.2, 6.0, 6.1",
CVE-2025-48976,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Configuration Management Platform (Apache Commons FileUpload),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,15.0.0.0,
CVE-2025-8194,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Routing (Python),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"9.3.0, 10.0.0",
CVE-2025-27533,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Third Party (Apache ActiveMQ),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,9.0.0-9.0.4,
CVE-2025-48976,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Third Party (Apache Commons FileUpload),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,9.0.0-9.0.4,
CVE-2025-46727,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Core (Rack),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,6.1.0-6.1.1,
CVE-2025-8194,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Security (Python),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"7.7.0, 7.8.0, 8.0.0",
CVE-2025-66418,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Security (urllib3),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"7.7.0, 7.8.0, 8.0.0",
CVE-2025-8194,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Routing (Python),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"4.1.0, 4.2.0, 5.0.0",
CVE-2025-41249,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Construction and Engineering,Admin (Spring Framework),3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,21.12.0-21.12.16,
CVE-2025-41249,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Construction and Engineering,Integration (Spring Framework),3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,"22.12.0-22.12.15, 23.12.0-23.12.16, 24.12.0-24.12.12, 25.12.0",
CVE-2025-5115,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Reports (Eclipse Jetty),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"14.5.0.0.0, 14.6.0.0.0, 14.7.0.0.0, 14.8.0.0.0",
CVE-2025-48976,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Accessibility (Apache Commons FileUpload),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-27817,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Accessibility (Apache Kafka),3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-5115,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Accessibility (Eclipse Jetty),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-55163,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Accessibility (Netty),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP/2,Yes,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-9230,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Accessibility (OpenSSL),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTPS,Yes,14.8.1.0.0,
CVE-2025-5115,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Base (Eclipse Jetty),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"14.5.0.0.0, 14.6.0.0.0, 14.7.0.0.0",
CVE-2025-48976,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Common Core (Apache Commons FileUpload),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-27817,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Common Core (Apache Kafka),3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-5115,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Common Core (Eclipse Jetty),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-55163,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Common Core (Netty),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP/2,Yes,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-9230,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Common Core (OpenSSL),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTPS,Yes,14.8.1.0.0,
CVE-2025-5115,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Security (Eclipse Jetty),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-55163,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Security (Netty),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP/2,Yes,"14.5.0.15.0, 14.6.0.11.0, 14.7.0.9.0, 14.8.0.1.0, 14.8.1.0.0",
CVE-2025-9230,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Security (OpenSSL),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTPS,Yes,14.8.1.0.0,
CVE-2025-41249,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Reports (Spring Framework),3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,2.6.0,
CVE-2025-66418,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Reports (urllib3),3.1,7.5,Network,Low,None,None,Un- changed,None,None,High,,,,,HTTP,Yes,2.6.0,
CVE-2025-41249,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Installer (Spring Framework),3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,8.1.3.2,
CVE-2025-41248,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Financial Services Applications,Installer (Spring Security),3.1,7.5,Network,Low,None,None,Un- changed,High,None,None,,,,,HTTP,Yes,8.1.3.2,
